land;jahr;anzahl_kh;betten;fallzahlen;beleg_tage_1000;verweildauer;bett_auslast;aerzte;pfleger;sonst_pers;pers_gesamt
Deutschland;_2018;1925;498192;19392466;140225;7,2;77,1;0;0;0;0
Deutschland;_2017;1942;497182;19442810;141152;7,3;77,8;186021;1051625;84186;1321832
Deutschland;_2016;1951;498718;19532779;142170;7,3;77,9;180372;1035209;82550;1298131
Deutschland;_2015;1956;499351;19239574;141281;7,3;77,5;174391;1018461;81362;1274214
Deutschland;_2014;1980;500680;19148626;141534;7,4;77,4;169528;1009153;80798;1259479
Deutschland;_2013;1996;500671;18787168;141340;7,5;77,3;164720;999425;79775;1243920
Deutschland;_2012;2017;501475;18620442;142024;7,6;77,4;159764;986768;79246;1225778
Deutschland;_2011;2045;502029;18344156;141676;7,7;77,3;154248;974146;77858;1206252
Deutschland;_2010;2064;502749;18032903;141942;7,9;77,4;148696;964263;75949;1188908
Deutschland;_2009;2084;503341;17817180;142414;8;77,5;143967;952553;74675;1171195
Deutschland;_2008;2083;503360;17519579;142535;8,1;77,4;139294;938918;73891;1152103
Deutschland;_2007;2087;506954;17178573;142893;8,3;77,2;136267;931020;72869;1140156
Deutschland;_2006;2104;510767;16832883;142251;8,5;76,3;133649;930728;72640;1137017
Deutschland;_2005;2139;523824;16539398;143244;8,7;74,9;131115;932039;72330;1135484
Deutschland;_2004;2166;531333;16801649;146746;8,7;75,5;129817;942029;73981;1145827
Deutschland;_2003;2197;541901;17295910;153518;8,9;77,6;128853;967567;77445;1173865
Deutschland;_2002;2221;547284;17432272;159937;9,2;80,1;126047;986374;78503;1190924
Deutschland;_2001;2240;552680;17325083;163536;9,4;81,1;123819;977537;78117;1179473
Deutschland;_2000;2242;559651;17262929;167789;9,7;81,9;122062;978409;81008;1181479
Deutschland;_1999;2252;565268;17092707;169696;9,9;82,2;120608;985304;82149;1188061
Deutschland;_1998;2263;571629;16847477;171802;10,2;82,3;119831;996477;85261;1201569
Deutschland;_1997;2258;580425;16429031;171837;10,5;81,1;118522;1006348;88270;1213140
Deutschland;_1996;2269;593743;16165019;175247;10,8;80,6;117922;1024257;89186;1231365
Deutschland;_1995;2325;609123;15931168;182627;11,5;82,1;116346;1036854;88841;1242041
Deutschland;_1994;2337;618176;15497702;186049;12;82,5;114208;1024013;87109;1225330
Deutschland;_1993;2354;628658;15191174;190741;12,6;83,1;0;0;0;0
Deutschland;_1992;2381;646995;14974845;198769;13,3;83,9;0;0;0;0
Deutschland;_1991;2411;665565;14576613;204204;14;84,1;0;0;0;0